,spy,spy_lagging,dji,nasdaq,sp500,daxi,cac40,aord,nikkei,hsi,price
1602,-1.1100000000000136,-0.25,20.16015999999945,-22.819824000000153,0.38000499999998283,146.60058600000048,-9.979980000000069,-13.899902000000111,41.62988300000143,249.99023400000078,189.789993
1603,-1.1699979999999925,-1.1100000000000136,-102.56054999999833,-25.550293000000238,-8.969970999999987,-5.049804000000222,-11.85009799999807,-13.0,46.860350999997536,33.03906200000347,188.679993
1604,0.18000699999998915,-1.1699979999999925,-166.19922000000224,-26.17968699999983,-16.970092999999906,-122.28027400000065,25.35009799999807,46.39990200000011,-38.600586000000476,-82.46875,187.509995
1605,0.9599919999999997,0.18000699999998915,43.02930000000197,9.979980000000069,5.470092999999906,-19.95019499999944,-77.77978499999972,0.5,-65.86035099999754,223.08984399999827,187.690002
1606,-0.5599979999999789,0.9599919999999997,20.87109000000055,40.77978500000154,8.219970999999987,66.81054699999913,-33.310058999999455,13.800293000000238,115.4101559999981,-22.160156000001734,188.649994
1607,1.0899969999999826,-0.5599979999999789,-135.05078000000321,-15.14990200000193,-11.540038999999979,55.27929700000095,34.87988299999961,-31.300293000000238,102.41992199999913,-62.96093800000017,188.089996
1608,0.5800020000000075,1.0899969999999826,156.57031000000097,30.129883000000518,14.849975000000086,34.860350999999355,8.350097999999889,-68.60009700000046,53.280274000002464,-40.480468999998266,189.179993
1609,1.3000030000000038,0.5800020000000075,11.75,23.689940999999635,5.130004999999983,-75.41015599999992,23.560058000000026,11.400390000000698,29.340821000003416,-13.92968800000017,189.759995
1610,0.4600059999999928,1.3000030000000038,62.929690000000846,46.660155999999915,8.690063999999893,33.87011700000039,39.5,2.199706999999762,-112.01074199999675,-231.98046800000157,191.059998
1611,0.3000030000000038,0.4600059999999928,67.56054999999833,28.52001999999993,9.760009999999966,-151.75,27.79980499999965,54.20019599999978,11.570313000005626,-42.45898499999748,191.520004
1612,0.36999499999998875,0.3000030000000038,-37.240239999999176,3.080078000000867,-1.1700439999999617,128.76953099999992,-5.390136999999413,12.199706999999762,-0.15039099999921746,77.75976599999922,191.820007
1613,0.7599950000000035,0.36999499999998875,59.5898500000003,13.450195000000349,9.729980000000069,44.050782000000254,-15.149902000000111,20.10009700000046,-186.56054700000095,36.50976599999922,192.190002
1614,-0.5200040000000001,0.7599950000000035,19.519530000001396,-3.530273000001216,3.540038999999979,17.609375,-4.120117000000391,0.29980499999965105,-100.2099610000023,-22.878905999998096,192.949997
1615,0.040008000000000266,-0.5200040000000001,19.849609999997483,-25.919921999999133,-0.8000489999999445,142.1201170000004,8.550293000000238,15.900390000000698,93.65038999999706,32.84960900000078,192.429993
1616,0.9400029999999902,0.040008000000000266,-16.699219999998604,0.16992199999913282,-0.009887000000162516,14.57031199999983,10.339842999999746,-7.5,-285.3603519999997,-62.480468000001565,192.470001
1617,1.4599910000000023,0.9400029999999902,19.140630000001693,36.910156000000825,5.459961000000021,-24.37011700000039,10.339842999999746,-25.400390000000698,107.87988300000325,138.328125,193.410004
1618,0.48001100000001884,1.4599910000000023,100.5,53.639648999998826,13.890014000000065,-94.69043000000056,10.339842999999746,32.9003900000007,-3.420899000000645,-97.38867200000095,194.869995
1619,-0.01000999999999408,0.48001100000001884,86.43944999999803,11.590332000000672,6.559936999999991,-39.23925699999927,-20.310058000000026,-38.70019500000035,101.87011700000039,316.29882799999905,195.350006
1620,-0.4400020000000211,-0.01000999999999408,14.320309999999154,4.85009700000046,1.3699950000000172,37.47949200000039,21.390135999999984,-33.70019500000035,30.19043000000056,130.64843800000017,195.339996
1621,-0.20999199999999973,-0.4400020000000211,2.7597700000005716,-6.280273000000307,-0.9699709999999868,-28.939453000000867,-60.57031199999983,-7.099609999999302,1.1894530000008672,60.890625,194.899994
1622,-0.7700040000000001,-0.20999199999999973,-102.67969000000085,0.18994100000145409,-6.0200190000000475,115.58984299999975,40.939940999999635,23.79980499999965,4.0996090000007825,-31.189452999999048,194.690002
1623,-0.02999900000000366,-0.7700040000000001,-105.83983999999691,-7.7998040000011315,-12.549927000000025,-8.82031199999983,35.90039100000013,5.0,-2.1503910000028554,179.36132799999905,193.919998
1624,0.13000500000001125,-0.02999900000000366,30.919919999996637,-11.379883000000518,4.0399170000000595,104.2802730000003,-23.800293000000238,-16.0,-31.47949300000073,113.89843800000017,193.889999
1625,0.8099980000000073,0.13000500000001125,13.650390000002517,12.07958999999937,2.3100580000000264,66.41992200000095,37.12988299999961,-24.60009799999989,55.219725999999355,27.63086000000112,194.020004
1626,1.5999909999999886,0.8099980000000073,26.908199999998033,25.17041000000063,5.579956000000038,57.410155999999915,1.0302730000012161,-24.199706999999762,-78.859375,-48.90039099999922,194.830002
1627,-0.3999939999999924,1.5999909999999886,103.78125,28.959960999999566,14.770019999999931,-13.080078000000867,-8.410156000000825,6.89990299999954,3.8203119999998307,-61.800780999998096,196.429993
1628,-0.03999400000000719,-0.3999939999999924,10.71875,-4.770019999999022,2.9499510000000555,-10.92968699999983,-50.44970699999976,-9.89990299999954,-88.41992099999334,9.970702999999048,196.029999
1629,-0.4600059999999928,-0.03999400000000719,25.88086000000112,3.589843999999175,2.470092999999906,60.12988299999961,1.0,-16.800293000000238,-21.73925699999927,-30.849609000000783,195.990005
1630,-1.240005999999994,-0.4600059999999928,-11.880860000001121,-1.0600589999994554,-0.9500729999999749,-36.90039099999922,11.409668000000238,82.5,-22.409178999996584,25.310546000000613,195.529999
1631,1.3200080000000014,-1.240005999999994,-116.93944999999803,-26.080077999999958,-12.699951000000056,-46.13964800000031,-22.97998099999859,-44.79980400000022,0.7099610000004759,-111.2695309999981,194.289993
1632,-0.6300050000000113,1.3200080000000014,49.13085999999748,37.62011699999948,10.619995000000017,25.589842999999746,37.45019599999887,31.10009700000046,22.009765000000698,24.310547000000952,195.610001
1633,0.7200009999999963,-0.6300050000000113,-19.91015999999945,-7.640135999999984,-3.3299560000000383,24.599609999999302,6.02978499999972,-17.60009700000046,141.65917900000022,112.67968700000347,194.979996
1634,0.5,0.7200009999999963,5.5898400000005495,26.57031200000074,4.229980000000069,40.390625,24.669921999999133,-28.300293000000238,-69.44042999999692,20.839843000001565,195.699997
1635,0.8500060000000076,0.5,-23.9609300000011,26.339843999999175,1.5,4.109375,11.850097000002279,60.0,-25.430664000003162,164.09960999999748,196.199997
